课程名称,学分
大学英语（4）,3.0
中国近现代史纲要,3
基本电路实验,2
基本电路实验,2
大学英语（2）,3
内燃机构造与设计,3
大学英语（2）,3
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
数据结构,3.0
数据结构,3.0
数据结构,3.0
ET创新实验,2
ET创新实验,2
体育（4）,1.0
ET创新实验,2
初级汉语精读（2）,4
初级汉语口语（2）,4
HSK3综合汉语,2
英语读写（4）,4
英语读写（4）,4
英语读写（4）,4
英语视听说（4）,4
英语视听说（4）,4
英语视听说（4）,4
西方文明史,2
西方文明史,2
英语名诗鉴赏,2
法语二外（2）,4
工程热力学,3
实用法语听说（2）,2
实用法语听说（2）,2
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
摄影基础,2
生命科学发展史,2
分子影像学与疾病早期诊断,2
1930年代上海文学地图,1
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
体育（4）,1.0
基本电路理论,4.0
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
基本电路实验,2
基本电路实验,2
形势与政策,0.5
核环境工程,2
大学物理（荣誉）（1）,5
大学物理（荣誉）（1）,5
生物医学导论（荣誉）,3
工程物理与化学基础（4）,4
概率论与统计,4
神经科学前沿问题及信息学方法,1
C++程序设计（A类）,3
广义线性模型,2
英语写作,4
英语写作,4
线性代数,4
机器学习导论,4
物理学实验（1）,2
C语言程序设计,3
C语言程序设计,3
C语言程序设计,3
立体构成,3
色彩构成,3
平面构成,3.0
C语言程序设计,3
C语言程序设计,3
篆刻艺术,2
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学物理实验（1）,1
大学物理实验（1）,1
大学物理实验（1）,1
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
佛教史,2
印度的历史与文化,2
近代中国的诗歌、故事与思想,2
东京审判与近现代亚太地区政治外交,2
普通生物学,2
西方文学史（2）,3
现代汉语,3
中国文学史（2）,4
中国当代文学史,3
量子物理与统计物理导论,4
基本电路实验,2
数据结构,2
最优化理论,2
基本电路实验,2
大学英语（2）,3
药用植物学,2
中医药文化,2
分析化学（2）,3
有机化学实验（2）,1.5
物理化学实验（1）,2
科研能力培养（2）,1
遗传学,4
计算机基础（2）,4
嵌入式系统原理与实验（A类）,4
嵌入式系统原理与实验（A类）,4
嵌入式系统原理与实验（A类）,4
嵌入式系统原理与实验（A类）,4
思想政治与通识教育（2）,1
信号与系统（B类）,3
信号与系统（B类）,3
信号与系统（含复变函数）,4
计算机组成,4
软件工程,4
工程实践,3
中级宏观经济学,3
博弈论,2
博弈论,2
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
新船型研究与探索,2
绝对零度的奇迹：超流与超导,2
行为遗传学研讨,2
探索奇妙的蛋白质世界,2
物理学研究导论,2
战后日本社会,2
汉字与中国文化,2
读书报告（二）（前期导师制活动）,1
有机化学（1）,4
有机化学（1）,4
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（5）,1
生命安全与救援——运动及户外活动中的安全与救护,2
科学思想经典文献导读,2
体育（5）,1
体育（5）,1
体育（5）,1
体育（5）,1
VEX机器人设计与开发,2
3D打印结构优化与创新设计,2
汽车嵌入式软件AUTOSAR架构建模与代码生成,2
汽车动力底盘原型设计,2
数字化协同创新设计与实践,2
3D打印原理与技术,2
中国传统音乐,2
流行音乐与文化,2
新时代社会认知实践,2
数学分析（A类）（2）,5
数学分析（A类）（2）,5
工商管理论文报告（A类）,4
工商管理论文报告（A类）,4
神经生物学,4
商务英语沟通,2
投资学,3
数据库原理与技术,3
软件工程导论,3
Web开发技术,2
汉语阅读（2）,4
旅游文化（A类）,2
工程实践与科技创新Ⅱ-A,2
形势与政策,0.5
大学英语（3）,3.0
法语写作（2）,2
法语写作（2）,2
物理学研究导论,2
计算机系统基础（2）,4
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
体育（4）,1.0
插花艺术,1
芳香疗法与身心健康,2
中药学通论,2
C语言程序设计,3
管理学原理（B类）,2
管理学原理（D类）,3
程序设计,3
程序设计,3
程序设计,3
程序设计,3
遗传学实验(C类),1
遗传学实验(C类),1
微生物实验,1
实用法语听说（2）,2
实用法语听说（2）,2
最优化理论,2
专业实习（行政管理）,4
国际经济与贸易论文报告（A类）,4
中国近现代史纲要,3
创新实践(英语),2
英汉翻译（2）,2
综合英语（B类）（4）,2
合同法分论,2
经济法（法学）,4
民事诉讼法,4
德语语法,2
德语二外（2）,4
英语高级听说（2）,2
英语高级听说（2）,2
英语实用写作（2）,2
宝玉石鉴定法,2
地球科学,2
基本数值计算方法（Matlab版）,2
插花艺术,1
大学英语（2）,3
大学英语（2）,3
大学英语（2）,3
大学英语（2）,3
形势与政策,0.5
法语写作（2）,2
新能源发电技术,2
能源与可持续发展,2
改变生活的心理学研究,2
思维力与创造力,2
日本民俗文化专题,2
书法艺术,2
生命科学导论实验（A类）,1
生命科学导论实验（A类）,1
生命科学导论实验（A类）,1
生命科学导论实验（A类）,1
生命科学导论实验（A类）,1
生命科学导论,2
体育（4）,1.0
体育（2）,1.0
体育（2）,1.0
人与室内环境,2
电化学能量储存与转换,1
ET创新实验,2
ET创新实验,2
概率论与统计,4
卓越领导力：成功人生之道,2
社会学,2
“UTJS”体验式教育:大学生演讲与沟通训练,2
“UTJS”体验式教育:大学生演讲与沟通训练,2
“UTJS”体验式教育:大学生演讲与沟通训练,2
“UTJS”体验式教育:大学生演讲与沟通训练,2
“UTJS”体验式教育——大学生演讲与沟通技能训练,1
&quot;UTJS&quot;体验式教育－－大学生团队沟通与合作技能,1
广告的力量,2
太阳能电池基础与应用,3
大学医科数学（A类）（2）,4
电子废物-资源-环境,2
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
大学英语（3）,3.0
形势与政策,0.5
形势与政策,0.5
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
大学英语（2）,3
大学英语（2）,3
大学英语（2）,3
大学英语（2）,3
大学英语（2）,3
大学英语（2）,2
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（5）,1
生物医学导论（荣誉）,3
生物医学导论（荣誉）,3
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
操作系统,2
英语演讲与技巧,2
英语演讲与技巧,2
研究选题与论文写作,2
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
葡萄与葡萄酒文化,2
园艺与文化,1
中医药养生与保健,2
心理自助,2
有机化学（1）,4
有机化学（1）,4
腾讯电子游戏创作工坊,2
工程技术探究,2
工程认知实践,2
大学英语（2）,2
大学英语（2）,2
大学英语（2）,2
中级法语语法（2）,2
中级法语语法（2）,2
中级法语语法（2）,2
中级法语语法（2）,2
体育（5）,1
体育（5）,1
法律文书,2
历代词人研究,2
比较文学概论,2
中国文学史（4）,4
历代诗人研究,2
唐宋散文研究,2
有机化学实验,4
图论与组合,3
运筹学（B类）,3
工业设计毕业设计,4
高等微积分,4
投资学,3
投资学,3
投资学,3
随机过程,3
生涯发展,2
毕业设计(论文)(经管),17
微生物学（G类）实验,2.5
行为经济学,3
论文写作,2
物理实验（1）,3
植物嫁接理论与技术,1
光纤通信与全光网技术的发展,1
基因追踪,2
人造器官与再生医学,1
大学化学,2.0
大学化学,2.0
预科数学（2）,6
预科英语（2）,4
嵌入式系统原理与实验（A类）,4
嵌入式系统原理与实验（A类）,4
算法与复杂性,3
算法与复杂性,3
数据结构,3.0
汉译英（2）,2
口译（2）,2
口译（2）,2
专业实习(英语),3
歌唱的呼吸与发声,2
非洲鼓演奏体验,2
科学思想和认识论,2
能源与环境,2
清洁能源技术：原理与应用,2
线性代数 Ⅱ,4
汉语听力（2）,4
初级汉语口语（2）,4
综合英语（A类）（2）,4
破产法,2
金融汉语综合（2）,4
网络安全技术,3
经贸口语（2）,2
经贸口语（2）,2
经贸口语（2）,2
微生物学（E类）,3
微生物学（E类）,3
普通遗传学,3
普通遗传学,3
国际经济与贸易论文报告（A类）,4
神经生物学讨论课,2
高等线性代数,3
英语实用写作（2）,2
日语精读（4）,8
日语口语（4）,2
日语泛读（2）,2
日语视听说（3）,2
日本概况,2
日语写作（1）,2
日语演讲比赛（2）,3
日语二外（2）,4
大学英语（5）,3
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
信息与编码原理,2
图像处理概论,2
可压缩空气动力学,2
园林历史,2
船舶设备,2
船体振动,2
体育（4）,1.0
体育（4）,1.0
大学语文,2
唐诗宋词人文解读,2
外国文学史,3
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
船舶主机,3
医用有机化学(C类),3.5
医用有机化学(C类),3.5
医用有机化学(C类),3.5
中国书画,2
设计思维,2
大学英语（5）,3
体育（4）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
大学物理（B类）（1）,3
大学物理（B类）（1）,3
中国文学基础,2
通用英语(3A),5
数据可视化与可视分析,3
园林树木学,3
大学物理（荣誉）（1）,5
室内设计（4）,6.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
大学物理（D类）（2）,4
有机化学实验（A类）,2
有机化学实验（2）,1.5
西方建筑史,3
环境心理学,2
色彩（Ⅰ）,4.0
造型设计基础,4
设计表达,4
设计基础（2）,8
随机性、复杂性初探,1
分子细胞生物学,3
量子力学I,4
电动力学,4
计算物理导论,3
航空航天概论,2.0
发育与再生生物学讨论课,2
学子讲坛（4）,2
商务汉语综合（2）,4
通用英语(3B),5
通用英语(4A),5
设计思维,2
设计思维,2
数据结构,3.0
程序设计基础（A类）,2
国际投资学,2
国际贸易实务（A类）,2
国际贸易实务（A类）,2
国际金融学,2
动态系统、稳定与命令,2
大学化学,2.0
大学化学,2.0
图论,2
大学英语（3）,3.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
毛泽东思想和中国特色社会主义理论体系概论,3
模型设计,1
城市认知,1
中国近现代史纲要,3
中国近现代史纲要,3
花卉学,3
模型设计,1
园林植物配置,1
创业基础,2
建筑赏析,2
线性代数（B类）,3.0
设计创新的艺术,2
线性代数（B类）,3.0
科学与艺术:材料科学与设计艺术,2
商务汉语综合（2）,4
中国当代文学,2
古代汉语（1）,2
汉语阅读(2),2
跨文化交际,2
毕业设计(论文)(英语),9
英语经典散文选读(2),1
英语经典散文选读(2),1
中国思想经典选读,4
中国思想经典选读,4
汉译英（2）,2
投资学,3
投资学,3
全球视野下科学医学之兴起,4
记忆：理解20世纪中国史的新路径,4
思想道德修养与法律基础,3.0
形势与政策,0.5
有机化学（1）,4
细胞生物学实验,2
细胞生物学实验,2
细胞生物学实验,2
环境监测实验,1
环境监测,3
环境工程原理,3
环境化学（B类）,3
影视文化概论,3
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
网络环境下的文科信息检索,2
国学与领导力发展,2
工程热力学(1),3
工程与社会,3
工程与社会,3
工程与社会,3
工程与社会,3
工程与社会,3
毕业设计（论文）（行政管理）,16
现代造船技术,2.5
全球问题与全球治理,2
形势与政策,0.5
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
大学英语（5）,3
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
程序分析与验证,3
程序设计语言（A类）,3
机器学习,3
Linux内核,3
性与健康,3
大学化学,2
电路CAD设计,1
公共危机中的化学,2
老庄元典选读,3
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
基础物理实验（荣誉）（1）,1
基础物理实验（荣誉）（1）,1
基础物理实验（荣誉）（1）,1
大学英语（2）,3
大学英语（3）,3.0
大学英语（3）,3.0
消费者行为学（A）,2
中医药与中华传统文化,2
中医药与中华传统文化,2
大学生健康导论,2
大学生健康导论,2
现代医学导论,2
大学生健康教育,2
人体探秘与医学前沿,2
认知科学与语言,2
技术经济学,2
商业模式设计与创新,2
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
思想道德修养与法律基础,3.0
大学英语（5）,3
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
核能导论,2
大学英语（3）,3.0
形势与政策,0.5
形势与政策,0.5
大学英语（3）,3.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
马克思主义基本原理,3.0
马克思主义基本原理,3.0
电子设计自动化,2
网络安全管理技术,2
物理化学(B)(2),2
计算机在化学中的应用,3
仪器分析,3
仪器分析（A类）,2
仪器分析（A类）实验,2
新媒体与社会,3
中国文化概论,2
文化政策学,3
影视精品赏析（2-3）,2
传统文脉与设计思维,3
色彩构成,3
色彩构成,3
立体构成,3
立体构成,3
装饰图案,3
版式设计,4
中国书画,2
中国近现代史纲要,3
中国建筑史,3
风景园林快速表现,2
大学化学实验,1
景观设计（2）,6.0
专业实习（苏杭实习）园林,2
通信原理（B类）,2
燃烧科学与技术,2
研究实习,10
毕业报告,2
"
现代东亚的饮食与历史变迁",4
数字摄影技术,2
应急管理,3
解剖与生理,2
中国古代文学史,3
体育（4）,1.0
工程实践,3
专业研讨课（2）,1
实分析与傅里叶分析,4
工程实践与科技创新I,2
模拟电子技术,3
模拟电子技术,3
模拟电子技术,3
电子技术实验,3
大学物理实验（1）,1
美术创意与表现,4
中医基础理论,8
爱的艺术与人生,2
动态系统、稳定与命令,2
热运动和热传递,2
图论,2
量子物理与统计物理导论,4
流体力学基础,2
信息检索与利用,1
概率论,4
设计与制造Ⅰ,4.0
设计与制造Ⅰ,4.0
设计与制造Ⅰ,4.0
设计与制造Ⅰ,4.0
设计与制造Ⅰ,4.0
设计与制造Ⅰ,4.0
园林历史,2
中国近现代史纲要,3
设计初步,2
设计初步,2
有机化学,4
遗传学（A类）,2
生物工程单元操作实验（1）,1
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
莎士比亚戏剧赏析,2
英语经典名作赏析,2
学术英语交际:写作与发言,2
毛泽东思想和中国特色社会主义理论体系概论,3
毛泽东思想和中国特色社会主义理论体系概论,3
马克思主义基本原理,3.0
马克思主义基本原理,3.0
马克思主义基本原理,3.0
运营管理,3
动画课程设计与制作,5
影视音乐与音效,2
二维动画创作,3
动画概论(B类),2.0
动画造型概论,3
影视艺术导论,3
数据结构,2
明清山水,3
山水画写生与创作,3
材料科学基础,5
材料科学基础,5
材料科学基础,5
电动力学,5
电动力学,5
电子技术实验,3
电子技术实验,3
电子技术实验,3
电子技术实验,3
工程学导论,3.0
预科物理（2）,4
工程实践,3
工程实践,3
电工与电子技术（G）,4
强化学习,2
船舶动力系统,3
有限元分析,2
船舶原理（2－推进、操纵与耐波）,4
设计与制造Ⅰ,4.0
电子商务基础,2
电子商务基础,2
化工原理(上),4
化工设备机械基础,2
过程工程导论,1
环境监测实验,1
中国建筑史,2
室内设计（2）,6
体育（4）,1.0
大学英语（3）,3.0
大学英语（3）,3.0
计量经济学,3
计量经济学,3
商业银行经营管理,3
学术英语交际:写作与发言,2
学术英语交际:写作与发言,2
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
电类工程导论（B类）,4
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
摄影基础,2
计算机辅助设计（2）,3
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（5）,3
大学英语（5）,3
大学英语（5）,3
大学英语（5）,3
体育（2）,1.0
体育（2）,1.0
中西乐理及其应用,2
汉语综合课（4）,6
中西乐理及其应用,2
汉语综合课（4）,6
德语视听说（1）,2
德语口语（1）,2
德语会话（2）,2
摄影基础（B类）,3
市场营销理论与实务,3
传播学导论（A类）,2
新闻实务（一）,3
传播伦理与法规,3
工程流体力学（A类）,3
工程流体力学（C类）,3
工程力学实验（A类）,2
大学化学实验,1
大学化学实验,1
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
推拿手法学（2）,3
交响音乐鉴赏,2
交响音乐鉴赏,2
交响音乐鉴赏,2
交响音乐鉴赏,2
交响音乐鉴赏,2
英语文学导论（2）,2
英语文学导论（2）,2
工程物理与化学基础（3）,6
商务英语沟通,2
可压缩空气动力学,2
核能导论,2
燃烧科学与技术,2
毕业设计（论文）,10
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
体育（4）,1.0
体育（4）,1.0
基本电路实验,2
TI-RSLK机器人设计与实践,2
金工实习（1）,1
高等数学I,4
体育（2）,1.0
视译,2
物理学实验（1）,1.5
机械臂智能控制,2
形势与政策,0.5
热运动和热传递,2
综合实践项目,4
工程学导论,3.0
工程学导论,3.0
工程学导论,3.0
微生物学实验,1.5
微生物学实验,1.5
遗传学实验,1
生命伦理学,2
英语文学导论（2）,2
日语精读（2）,12
日语视听说（1）,2
日语口语（2）,2
船舶动力装置控制理论,2.5
动力装置数值计算导论,2
船舶辅机,2
无线通信原理与移动网络,3
毛泽东思想和中国特色社会主义理论体系概论,3
毛泽东思想和中国特色社会主义理论体系概论,3
材料力学,3
材料力学,3
物理学实验（3）,3
经络腧穴学,7
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
大学化学,2.0
能源化学,3
信号与系统（A类）,4
电子商务：创新与战略,2
消费者行为学,2
灰色系统理论及应用,2
航空航天概论,2
工程实践与科技创新I,2
概率论,3
高等数学II,4
物质结构导论,2
大学基础物理,5
针推经典与临床思维方法导论,2
中医学术英语视听说,4
有机化学(1),4
模拟电子技术,3
模拟电子技术,3
模拟电子技术,3
模拟电子技术,3
模拟电子技术,3
模拟电子技术,3
营销导论,2
毕业设计（论文）（汉语言）,10
毕业设计（论文）（汉语言）,10
毕业设计（论文）（汉语言）,10
毕业设计(汉语言专业-双语方向),10
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
中华文明与社会的历史进程,2
装饰材料与构造,3
大国战略,2
生活中的毒理学,3
电工与电子技术（G）,4
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
概率论,3
研究选题与论文写作,2
数学实验,2
桥牌与博弈论,3
模糊数学及其应用,2
偷师大自然:动物仿生学,1
基于LabVIEW的机械系统动态信号采集与分析,2
智能材料与微精驱动原理与技术,3
SolidWorks与机械设计,2
现代汽车排放污染物控制新技术,3
工程应用软件(1) (CAD-UG),2
工程应用软件(1) (CAD-UG),2
绿色材料与绿色能源,2
生物医用金属材料,2
多元微积分,4
大学英语（3）,3.0
大学英语（3）,3.0
工程学导论,3.0
工程学导论,3.0
工程学导论,3.0
工程学导论,3.0
机械设计原理（A类）,3.0
人机工程学,2.0
专题设计（3）,1.0
调研与分析,3
程序设计,6
农业生物技术,2
基因工程与功能性食品,2
交响音乐鉴赏,2
中西乐理及其应用,2
中西乐理及其应用,2
创业基础,2
量子力学Ⅰ,5
量子力学Ⅰ,5
物理实验（3）,2
物理研究实践II,1
环境的生物评价,2
环境问题与对策,2
基础法语(上),4
西方风景园林规划设计史,2
花卉应用学,2
德语（1）,4
系统建模方法与应用,2
基础日语(上),4
基础日语(上),4
基础日语(上),4
基础日语(上),4
基础日语(下),4
基础日语(（Ⅲ）,4
概率统计,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
大学英语（4）,3.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
运动系统解剖学,1
毛泽东思想和中国特色社会主义理论体系概论,3
大学英语（3）,3.0
大学英语（5）,3
大学英语（5）,3
大学英语（5）,3
大学英语（5）,3
大学英语（5）,3
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
军事理论,1.0
经济与社会伦理,2
新闻媒介与社会,2
毕业设计（论文）（法语）,8
中西乐理及其应用,2
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
大学化学实验,1
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
概率统计,3.0
概率统计,3.0
专业实习（传播学）（1）,1
传播研究方法,3
中外影视史（A类）,4
影视精品赏析（1-2）,2
大学化学实验,1
大学化学实验,1
大学化学实验,1
大学化学实验,1
大学化学实验,1
数理方法,3.0
数理方法,3.0
中级财务会计,3
中级财务会计,3
经济思想史,2
工程学导论,3.0
工程学导论,3.0
工程学导论,3.0
有机化学（B类）,4
化工原理基础,4
营销在中国,3
全球运营与管理,2
管理学,2
新产品管理,2
定价策略,2
创业机会识别,2
VB编程技术,2
体育（4）,1.0
研究实习,10
初级综合法语（2）,4
物理学实验（1）,1.5
商务统计学,3
园林建筑学,3
空间导向设计,3.0
信号与系统（A类）,4
信号与系统（A类）,4
信号与系统（A类）,4
信号与系统（A类）,4
电磁场（A类）,4
电磁场（A类）,4
电磁场（A类）,4
硬件描述语言与系统仿真,2
硬件描述语言与系统仿真,2
硬件描述语言与系统仿真,2
电子信息领域前沿技术（工程）探究,1
在实验中探究生物技术,2
在实验中探究生物技术,2
基本电路实验,2
毕业设计（论文）（艺术设计）,13.0
经济思想史,2
市场营销学（B类）,3
材料力学,4
电工与电子技术（G类）实验,2
电工与电子技术（G类）实验,2
操作系统,2
大学英语（2）,3
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
中国现代史专题研究：团练、水师与北洋军阀,3
爱的艺术与人生,2
美学,2
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
日语演讲比赛（1）,2
英语听说（2）,2
英语听说（2）,2
英语阅读与写作（2）,2
英语阅读与写作（2）,2
基础德语（2）,10
社会实习（传播学）（一）,6
新闻实务（三）,3
文献检索与解读,2
英语新闻阅读与写作,3
新媒体与社会,2
广告创意文案,2
数字出版理论与实务,2
记录片策划、撰稿与制作,2
媒介批评,2
大学化学,2.0
大学英语（4）,3.0
大学英语（4）,3.0
西方美术史,2
欧洲文化导论,2
中日科技文化交流,2
英语公众演讲,2
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
大学英语（5）,3
大学英语（5）,3
大学英语（5）,3
设计思维,2
用户研究方法,3
大学英语（3）,3.0
大学英语（3）,3.0
大学英语（3）,3.0
体育（4）,1.0
美学,2
文学与人生,2
文学与人生,2
工程心理学,2
信息与感知,2
影视精品赏析（2-1）,2
集成电路与微系统封装技术,2
生态学,2.0
多尺度物理问题计算方法,3
核科学与技术导论,3
辐射与核能发展史,2
自然界中的混沌与分岔,2
出国实用法语,1
出国实用法语,1
大学英语（5）,3
大学英语（4）,3.0
基本电路实验,2
基因与人,2
高等数学（A）（2）,4.0
计算机及应用毕业设计,2.5
高级法汉互译,2
高级法汉互译,2
大学英语（5）,3
海洋学导论,2
多元微积分,4
海洋学导论,2
海洋学导论,2
多元微积分,4
海洋可再生能源,2
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
数据结构（荣誉）,3
大学英语（2）,3
大学英语（2）,3
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
大学英语（3）,3.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
毛泽东思想和中国特色社会主义理论体系概论,3
毛泽东思想和中国特色社会主义理论体系概论,3
无线通信原理与移动网络,3
毛泽东思想和中国特色社会主义理论体系概论,3
基础力学中的数学建模方法及解析,2
概率统计,3.0
概率统计,3.0
概率统计,3.0
概率统计,3.0
走进纳米科学,2
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
大学物理（A类）（1）,4.0
通用英语(4B),5
体育（4）,1.0
体育（4）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
体育（2）,1.0
大学英语（2）,3
HSK解析和应对策略,2
HSK解析和应对策略,2
中级汉语口语（2）,4
文化的魅力,2
中级汉语口语（2）,4
文化的魅力,2
中级汉语口语（2）,4
环境变化与中华文明,2
大众传播与社会问题,3
大学物理（B类）（1）,3
健康中国（2）,2
医用有机化学(A类),5
医用有机化学(A类),5
微观经济学（C类）,3
国际政治概论,3
社会保障概论,3
定性研究方法,3
管理技能与创新实践（二）,2
管理技能与创新实践（三）,2
大学英语（2）,3
基本电路理论,4.0
毛泽东思想和中国特色社会主义理论体系概论,3
毛泽东思想和中国特色社会主义理论体系概论,3
数理方法,3.0
公共经济学,3
公共政策分析,3
定量研究方法,3
程序语言设计,3
系统工程,2
系统工程,2
工程热力学(1),3
建筑设计及原理（1-2）,8
建筑设计原理（下）,2
汉语写作（A类）（2）,2
汉语写作（A类）（2）,2
汉语写作（A类）（2）,2
旅游文化（A类）,2
大学物理（B类）（2）,3
大学物理（C类）,4
大学物理（D类）（2）,4
材料力学,4
材料力学,4
材料化学,3
材料化学,3
材料化学,3
财务会计信息系统,2
会计学,2
报表分析与估值,2
报表分析与估值,2
城市发展与管理,3
社区管理与社会工作,2
体育（2）,1.0
高性能计算,2
经济全球化与中国的崛起,2
推理与思维训练,2
统计原理,2
数学的天空,3
数学史,3
机器的征途：空天科技,2
材料与生态,2
数学分析（荣誉）（2）,5
数学分析（荣誉）（2）,5
材料美学,2
中国政府与政治,3
工程实践与科技创新Ⅳ-A（卓工）,2
政治经济学经典导读,3
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
思想道德修养与法律基础,3.0
基本电路理论,4.0
基本电路实验,2
初级综合法语（2）,4
初级综合法语（2）,4
初级综合法语（2）,4
基础学术法语,2
基础学术法语,2
基础学术法语,2
基础学术法语,2
房屋建筑学,2
房屋建筑学课程设计,2
半导体物理与器件,4
数字集成电路设计,4
软件工程,3
普通心理学,2
形势与政策,0.5
形势与政策,0.5
形势与政策,0.5
流体力学基础,2
电工与电子技术（G类）实验,2
电工与电子技术（G类）实验,2
电工与电子技术（G类）实验,2
电工与电子技术（G类）实验,2
国际政治经济学导论,2
素描,2
大学医科数学（A类）（2）,4
线性代数（B类）,3.0
体育（4）,1.0
体育（4）,1.0
体育（4）,1.0
体育（2）,1.0
体育（2）,1.0
体育（4）,1.0
体育（4）,1.0
生命伦理学,2
